Sample,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,ND1,ND2,ND3,ND4,ND5,ND6,QC_1,QC_8,QC_15
Lable,HFD,HFD,HFD,HFD,HFD,HFD,ND,ND,ND,ND,ND,ND,QC,QC,QC
M1000T44,1013.725391,1788.147408,554.3042953,976.9938745,1246.531507,936.8358054,1620.609832,937.1459623,1688.235939,1333.957688,1318.93798,1225.192419,1197.382299,880.6932637,1280.821587
M1001T44_1,1131.082821,1980.526839,728.0731646,1702.52628,1536.88405,904.4766134,2422.21535,1323.695841,1072.864714,1873.302615,2149.328932,1668.03267,1690.080448,1589.335497,1622.135212
M1001T44_2,780.1900089,715.2998404,607.2987864,919.9807361,771.3142172,1029.980411,2235.594334,1595.773611,911.8193827,909.7752765,887.3124687,1300.888592,934.1149709,1018.366442,1097.571335
M1002T43_1,1333.578865,2012.751991,942.1236602,2629.983575,1198.191694,1611.010916,2516.366431,1644.255188,2286.509562,2257.06137,2138.564236,2022.858482,2007.55511,1792.085194,2215.696295
M1002T43_2,1034.307203,2178.500943,755.0293694,1116.860358,1164.991435,885.1320431,1919.16852,1380.485461,1338.388441,1667.593185,1315.484931,1693.056864,1343.066964,1390.133077,1618.245083
M1003T43,1174.352537,2505.819137,799.7019484,2099.889761,1124.692989,1356.635218,2919.624016,2597.135269,2270.612355,2131.539122,2942.752259,2745.833995,2044.906713,2163.886585,2470.139483
M1003T44,1083.968263,1735.26532,633.7325814,1437.053927,1124.190267,930.7069646,1980.572259,1894.353153,1080.884526,1420.413442,1617.827589,1805.911932,1278.99561,1208.58084,1453.603418
M1004T43_1,1276.145321,2466.373765,700.4616955,1941.181484,1256.302669,1009.892883,1640.970968,2050.002885,1745.429867,1540.345598,1776.576446,2200.150319,1559.307402,1404.066562,1484.74494
M1004T43_2,682.8303431,796.0405699,504.3638296,844.7604359,839.9943178,910.8494506,1107.191804,788.0622948,1196.76294,914.4889477,969.8189743,697.8457073,831.7689596,782.3156269,1171.778718
M1005T155,838.098926,456.4972148,1074.939542,720.2180362,728.5424903,906.0071696,652.6733237,438.6919766,579.7641273,534.5874954,457.4457295,576.8715403,424.9106883,482.1543806,471.9314929
M1005T43,914.7215797,1838.665136,748.8594552,1056.229194,1001.877801,991.9683584,1924.0621,2350.965657,1652.770703,1412.879629,1046.444833,1179.983789,1319.798262,1431.991831,2071.464942
M1005T57,1444.053441,1029.482267,925.5381478,1706.410681,1249.463343,1376.468623,1773.896574,1764.458527,1414.176405,1231.676095,1493.480646,1425.703982,1429.175093,888.8633509,1219.130664
M1006T479,1420.024642,1345.769158,1071.716385,1238.369031,1402.708746,1304.893569,1350.706174,394.9027718,1107.336186,1019.242519,1376.195338,931.8351561,1637.979292,1102.780206,1500.284184
M1007T159,1383.16217,805.5474382,1402.113722,967.1382796,674.4932584,1366.66391,720.7885161,1122.141909,863.4566122,1267.209145,939.4263287,1138.399238,780.293114,840.7771712,623.177641
M1007T62,639.5024947,1531.671137,933.4939185,889.0809021,731.8429145,912.0471366,1197.107582,2147.104302,1350.736204,1955.87193,1333.935684,1890.538941,1151.207327,1145.442784,1243.338204
M1008T480,2157.805426,855.3537658,1067.771698,1382.295851,1768.670559,1077.512878,826.6753879,710.3916129,1071.067047,1040.348802,1202.819015,817.0041384,1091.314449,869.8262237,1405.507974
M1009T44,866.1614294,1421.727821,603.3209323,1167.471254,957.6160477,856.8229159,2186.822165,1122.168414,1354.048929,1471.457853,1114.158013,1263.708958,1164.541529,897.5756427,1520.644222
M100T448,14255.22693,12500.84354,14647.25934,15982.56063,15545.46146,15885.99586,13026.80282,23489.94524,19503.69658,13111.77352,17158.08636,28451.23704,12333.63149,20164.3104,16937.65789
