Sample,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,ND1,ND2,ND3,ND4,ND5,ND6,QC_1,QC_8,QC_15
Lable,HFD,HFD,HFD,HFD,HFD,HFD,ND,ND,ND,ND,ND,ND,QC,QC,QC
M100T44,1330.469717,2035.789826,1396.158191,2040.325348,1677.682029,2514.269649,2849.946049,2004.26538,1999.165292,2462.629054,2399.168038,1556.600226,2377.587219,1987.5609,1912.440602
M100T487,1411.725718,2212.033308,1470.528966,1247.663463,1790.1902,1627.711137,2217.987175,1948.153395,2068.157009,1949.11937,1758.903059,1872.012768,1700.706315,1445.608137,1341.04302
M100T488,729.641769,1226.189697,497.5765346,954.291582,969.576056,840.6171173,1089.973716,929.1534109,1388.012015,930.3276614,920.9789455,1100.793665,892.850428,741.9809032,767.2580238
M1011T242,1019.361447,3050.698896,963.8204446,2428.246239,1854.258534,1590.612559,53.70769873,30.16985114,51.82982723,29.61394934,32.98984858,17.38006956,902.055974,737.7879377,712.4984771
M1012T242,501.3653952,1450.438447,494.5752232,1483.933702,826.3240666,796.0549303,123.6613561,144.1546427,110.3830495,30.3230827,31.90811208,15.6836729,443.3336049,408.389805,412.3427604
M1015T250_1,581.122483,1791.204473,570.7071707,1702.070988,1114.562349,1086.883723,34.84242563,68.26807886,35.86094227,59.65401429,43.44880703,40.32760083,508.4572706,638.2797636,474.8609652
M1015T250_2,772.7509676,1873.953872,876.0170884,1445.918251,1108.447345,1202.806676,222.1845273,297.0156885,216.1236766,416.2086741,276.3758445,237.6022562,850.3540157,1008.071028,739.1116298
M1015T44,340.214016,658.8874374,317.3758102,537.675407,771.528675,692.4776577,731.4637009,797.2368805,736.1787619,753.0239116,393.6311549,961.5743146,691.5405907,418.1359115,697.249531
M1016T249,357.4222112,1135.652699,407.9468895,892.3411288,641.3940493,645.8679157,53.10872575,30.14786709,16.81515914,183.9412026,215.6986949,177.9216162,328.7136554,460.4812213,503.0998317
M101T100,1758.588336,1690.016396,2322.186535,1463.839639,2255.073245,2055.74784,1156.362136,1306.009823,1069.920349,1498.264228,1512.744078,1373.666571,1976.542235,2208.455174,1837.851907
